YEAR,MO,DY,HR,irr
2017,1,1,0,0
2017,1,1,1,0
2017,1,1,2,0
2017,1,1,3,0
2017,1,1,4,0
2017,1,1,5,0
2017,1,1,6,0.38
2017,1,1,7,6.03
2017,1,1,8,15.23
2017,1,1,9,24.11
2017,1,1,10,30.67
2017,1,1,11,35.65
2017,1,1,12,33.48
2017,1,1,13,28.56
2017,1,1,14,19.24
2017,1,1,15,8.83
2017,1,1,16,1.19
2017,1,1,17,0
2017,1,1,18,0
2017,1,1,19,0
2017,1,1,20,0
2017,1,1,21,0
2017,1,1,22,0
2017,1,1,23,0
2017,1,2,0,0
2017,1,2,1,0
2017,1,2,2,0
2017,1,2,3,0
2017,1,2,4,0
2017,1,2,5,0
2017,1,2,6,0.41
2017,1,2,7,6.35
2017,1,2,8,16.62
2017,1,2,9,26.8
2017,1,2,10,33.78
2017,1,2,11,36.95
2017,1,2,12,35.49
2017,1,2,13,29.66
2017,1,2,14,20.19
2017,1,2,15,9.4
2017,1,2,16,1.3
2017,1,2,17,0
2017,1,2,18,0
2017,1,2,19,0
2017,1,2,20,0
2017,1,2,21,0
2017,1,2,22,0
2017,1,2,23,0
2017,1,3,0,0
2017,1,3,1,0
2017,1,3,2,0
2017,1,3,3,0
2017,1,3,4,0
2017,1,3,5,0
2017,1,3,6,0.38
2017,1,3,7,6.68
2017,1,3,8,17.03
2017,1,3,9,26.82
2017,1,3,10,34.14
2017,1,3,11,36.84
2017,1,3,12,35.66
2017,1,3,13,28.86
2017,1,3,14,19.73
2017,1,3,15,9.51
2017,1,3,16,1.33
2017,1,3,17,0
2017,1,3,18,0
2017,1,3,19,0
2017,1,3,20,0
2017,1,3,21,0
2017,1,3,22,0
2017,1,3,23,0
2017,1,4,0,0
2017,1,4,1,0
2017,1,4,2,0
2017,1,4,3,0
2017,1,4,4,0
2017,1,4,5,0
2017,1,4,6,0.3
2017,1,4,7,4.55
2017,1,4,8,10.38
2017,1,4,9,16.59
2017,1,4,10,19.38
2017,1,4,11,21.34
2017,1,4,12,21.05
2017,1,4,13,17.27
2017,1,4,14,11.23
2017,1,4,15,4.93
2017,1,4,16,0.85
2017,1,4,17,0
2017,1,4,18,0
2017,1,4,19,0
2017,1,4,20,0
2017,1,4,21,0
2017,1,4,22,0
2017,1,4,23,0
2017,1,5,0,0
2017,1,5,1,0
2017,1,5,2,0
2017,1,5,3,0
2017,1,5,4,0
2017,1,5,5,0
2017,1,5,6,0.29
2017,1,5,7,4.38
2017,1,5,8,11.13
2017,1,5,9,17.96
2017,1,5,10,20.91
2017,1,5,11,21.41
2017,1,5,12,22.39
2017,1,5,13,19.74
2017,1,5,14,14.53
2017,1,5,15,6.84
2017,1,5,16,1.04
2017,1,5,17,0
2017,1,5,18,0
2017,1,5,19,0
2017,1,5,20,0
2017,1,5,21,0
2017,1,5,22,0
2017,1,5,23,0
2017,1,6,0,0
2017,1,6,1,0
2017,1,6,2,0
2017,1,6,3,0
2017,1,6,4,0
2017,1,6,5,0
2017,1,6,6,0.28
2017,1,6,7,1.84
2017,1,6,8,10.38
2017,1,6,9,20.95
2017,1,6,10,12.69
2017,1,6,11,16.91
2017,1,6,12,15.75
2017,1,6,13,13.77
2017,1,6,14,8
2017,1,6,15,3.89
2017,1,6,16,0.97
2017,1,6,17,0
2017,1,6,18,0
2017,1,6,19,0
2017,1,6,20,0
2017,1,6,21,0
2017,1,6,22,0
2017,1,6,23,0
2017,1,7,0,0
2017,1,7,1,0
2017,1,7,2,0
2017,1,7,3,0
2017,1,7,4,0
2017,1,7,5,0
2017,1,7,6,0.4
2017,1,7,7,6.47
2017,1,7,8,16.98
2017,1,7,9,27.23
2017,1,7,10,34.34
2017,1,7,11,37.34
2017,1,7,12,35.91
2017,1,7,13,30.16
2017,1,7,14,20.79
2017,1,7,15,9.91
2017,1,7,16,1.53
2017,1,7,17,0
2017,1,7,18,0
2017,1,7,19,0
2017,1,7,20,0
2017,1,7,21,0
2017,1,7,22,0
2017,1,7,23,0
2017,1,8,0,0
2017,1,8,1,0
2017,1,8,2,0
2017,1,8,3,0
2017,1,8,4,0
2017,1,8,5,0
2017,1,8,6,0.38
2017,1,8,7,6.21
2017,1,8,8,16.63
2017,1,8,9,27.07
2017,1,8,10,34.22
2017,1,8,11,37.05
2017,1,8,12,35.56
2017,1,8,13,29.54
2017,1,8,14,20.05
2017,1,8,15,9.46
2017,1,8,16,1.46
2017,1,8,17,0
2017,1,8,18,0
2017,1,8,19,0
2017,1,8,20,0
2017,1,8,21,0
2017,1,8,22,0
2017,1,8,23,0
2017,1,9,0,0
2017,1,9,1,0
2017,1,9,2,0
2017,1,9,3,0
2017,1,9,4,0
2017,1,9,5,0
2017,1,9,6,0.3
2017,1,9,7,5.59
2017,1,9,8,14.21
2017,1,9,9,23.02
2017,1,9,10,31.97
2017,1,9,11,32.76
2017,1,9,12,33
2017,1,9,13,28.91
2017,1,9,14,20.88
2017,1,9,15,10.06
2017,1,9,16,1.66
2017,1,9,17,0
2017,1,9,18,0
2017,1,9,19,0
2017,1,9,20,0
2017,1,9,21,0
2017,1,9,22,0
2017,1,9,23,0
2017,1,10,0,0
2017,1,10,1,0
2017,1,10,2,0
2017,1,10,3,0
2017,1,10,4,0
2017,1,10,5,0
2017,1,10,6,0.3
2017,1,10,7,5.71
2017,1,10,8,15.16
2017,1,10,9,24.23
2017,1,10,10,31.77
2017,1,10,11,34.84
2017,1,10,12,34.17
2017,1,10,13,29.67
2017,1,10,14,20.37
2017,1,10,15,10.08
2017,1,10,16,1.72
2017,1,10,17,0
2017,1,10,18,0
2017,1,10,19,0
2017,1,10,20,0
2017,1,10,21,0
2017,1,10,22,0
2017,1,10,23,0
2017,1,11,0,0
2017,1,11,1,0
2017,1,11,2,0
2017,1,11,3,0
2017,1,11,4,0
2017,1,11,5,0
2017,1,11,6,0.36
2017,1,11,7,5.5
2017,1,11,8,15.08
2017,1,11,9,22.66
2017,1,11,10,29.78
2017,1,11,11,33.74
2017,1,11,12,34.92
2017,1,11,13,30.38
2017,1,11,14,21.13
2017,1,11,15,10.34
2017,1,11,16,1.8
2017,1,11,17,0
2017,1,11,18,0
2017,1,11,19,0
2017,1,11,20,0
2017,1,11,21,0
2017,1,11,22,0
2017,1,11,23,0
2017,1,12,0,0
2017,1,12,1,0
2017,1,12,2,0
2017,1,12,3,0
2017,1,12,4,0
2017,1,12,5,0
2017,1,12,6,0.27
2017,1,12,7,4.52
2017,1,12,8,11.11
2017,1,12,9,17.94
2017,1,12,10,20.13
2017,1,12,11,23.24
2017,1,12,12,23.65
2017,1,12,13,21.39
2017,1,12,14,15.38
2017,1,12,15,7.53
2017,1,12,16,1.63
2017,1,12,17,0
2017,1,12,18,0
2017,1,12,19,0
2017,1,12,20,0
2017,1,12,21,0
2017,1,12,22,0
2017,1,12,23,0
2017,1,13,0,0
2017,1,13,1,0
2017,1,13,2,0
2017,1,13,3,0
2017,1,13,4,0
2017,1,13,5,0
2017,1,13,6,0.29
2017,1,13,7,3.47
2017,1,13,8,10.09
2017,1,13,9,15.77
2017,1,13,10,23.38
2017,1,13,11,26.74
2017,1,13,12,24.99
2017,1,13,13,21.34
2017,1,13,14,14.34
2017,1,13,15,6.48
